0: Acadian_Flycatcher
1: Acorn_Woodpecker
2: Alder_Flycatcher
3: Allens_Hummingbird
4: Altamira_Oriole
5: American_Avocet
6: American_Bittern
7: American_Black_Duck
8: American_Coot
9: American_Crow
10: American_Dipper
11: American_Golden_Plover
12: American_Goldfinch
13: American_Kestrel
14: American_Oystercatcher
15: American_Pipit
16: American_Redstart
17: American_Robin
18: American_Three_toed_Woodpecker
19: American_Tree_Sparrow
20: American_White_Pelican
21: American_Wigeon
22: American_Woodcock
23: Anhinga
24: Annas_Hummingbird
25: Arctic_Tern
26: Ash_throated_Flycatcher
27: Audubons_Oriole
28: Bairds_Sandpiper
29: Bald_Eagle
30: Baltimore_Oriole
31: Band_tailed_Pigeon
32: Barn_Swallow
33: Barred_Owl
34: Barrows_Goldeneye
35: Bay_breasted_Warbler
36: Bells_Vireo
37: Belted_Kingfisher
38: Bewicks_Wren
39: Blackburnian_Warbler
40: Blackpoll_Warbler
41: Black_and_white_Warbler
42: Black_backed_Woodpecker
43: Black_bellied_Plover
44: Black_billed_Cuckoo
45: Black_billed_Magpie
46: Black_capped_Chickadee
47: Black_chinned_Hummingbird
48: Black_chinned_Sparrow
49: Black_crested_Titmouse
50: Black_crowned_Night_Heron
51: Black_Guillemot
52: Black_headed_Grosbeak
53: Black_legged_Kittiwake
54: Black_necked_Stilt
55: Black_Oystercatcher
56: Black_Phoebe
57: Black_Rosy_Finch
58: Black_Scoter
59: Black_Skimmer
60: Black_Tern
61: Black_throated_Blue_Warbler
62: Black_throated_Gray_Warbler
63: Black_throated_Green_Warbler
64: Black_throated_Sparrow
65: Black_Turnstone
66: Black_Vulture
67: Blue_gray_Gnatcatcher
68: Blue_Grosbeak
69: Blue_headed_Vireo
70: Blue_Jay
71: Blue_winged_Teal
72: Blue_winged_Warbler
73: Boat_tailed_Grackle
74: Bobolink
75: Bohemian_Waxwing
76: Bonapartes_Gull
77: Boreal_Chickadee
78: Brandts_Cormorant
79: Brant
80: Brewers_Blackbird
81: Brewers_Sparrow
82: Bridled_Titmouse
83: Broad_billed_Hummingbird
84: Broad_tailed_Hummingbird
85: Broad_winged_Hawk
86: Bronzed_Cowbird
87: Brown_capped_Rosy_Finch
88: Brown_Creeper
89: Brown_crested_Flycatcher
90: Brown_headed_Cowbird
91: Brown_headed_Nuthatch
92: Brown_Pelican
93: Brown_Thrasher
94: Bufflehead
95: Bullocks_Oriole
96: Burrowing_Owl
97: Bushtit
98: Cackling_Goose
99: Cactus_Wren
100: California_Gull
101: California_Quail
102: California_Thrasher
103: California_Towhee
104: Calliope_Hummingbird
105: Canada_Goose
106: Canada_Warbler
107: Canvasback
108: Canyon_Towhee
109: Canyon_Wren
110: Cape_May_Warbler
111: Carolina_Chickadee
112: Carolina_Wren
113: Caspian_Tern
114: Cassins_Finch
115: Cassins_Kingbird
116: Cassins_Sparrow
117: Cassins_Vireo
118: Cattle_Egret
119: Cave_Swallow
120: Cedar_Waxwing
121: Cerulean_Warbler
122: Chestnut_backed_Chickadee
123: Chestnut_collared_Longspur
124: Chestnut_sided_Warbler
125: Chihuahuan_Raven
126: Chimney_Swift
127: Chipping_Sparrow
128: Cinnamon_Teal
129: Clapper_Rail
130: Clarks_Grebe
131: Clarks_Nutcracker
132: Clay_colored_Sparrow
133: Cliff_Swallow
134: Common_Black_Hawk
135: Common_Eider
136: Common_Gallinule
137: Common_Goldeneye
138: Common_Grackle
139: Common_Ground_Dove
140: Common_Loon
141: Common_Merganser
142: Common_Murre
143: Common_Nighthawk
144: Common_Raven
145: Common_Redpoll
146: Common_Tern
147: Common_Yellowthroat
148: Connecticut_Warbler
149: Coopers_Hawk
150: Cordilleran_Flycatcher
151: Costas_Hummingbird
152: Couchs_Kingbird
153: Crested_Caracara
154: Curve_billed_Thrasher
155: Dark_eyed_Junco
156: Dickcissel
157: Double_crested_Cormorant
158: Downy_Woodpecker
159: Dunlin
160: Dusky_Flycatcher
161: Dusky_Grouse
162: Eared_Grebe
163: Eastern_Bluebird
164: Eastern_Kingbird
165: Eastern_Meadowlark
166: Eastern_Phoebe
167: Eastern_Screech_Owl
168: Eastern_Towhee
169: Eastern_Wood_Pewee
170: Elegant_Trogon
171: Elf_Owl
172: Eurasian_Collared_Dove
173: Eurasian_Wigeon
174: European_Starling
